KEY_CODE,人口総数,小地域,男,女,世帯総数
27143017003,1306,堺市東区菩提町３丁,627,679,437
27143017004,1499,堺市東区菩提町４丁,688,811,613
27143017005,941,堺市東区菩提町５丁,475,466,425
271430180,6380,堺市東区南野田,2960,3420,2485
271430190,227,堺市東区八下町,99,128,72
27143019001,42,堺市東区八下町１丁,10,32,4
27143019002,57,堺市東区八下町２丁,29,28,20
27143019003,128,堺市東区八下町３丁,60,68,48
27144,135746,堺市西区,65315,70431,54614
271440010,-,堺市西区石津ケ丘,-,-,-
271440020,1,堺市西区石津西町,1,-,1
271440030,8596,堺市西区上野芝町,4023,4573,3378
27144003001,902,堺市西区上野芝町１丁,417,485,393
27144003002,582,堺市西区上野芝町２丁,291,291,260
27144003003,1425,堺市西区上野芝町３丁,651,774,568
27144003004,1550,堺市西区上野芝町４丁,738,812,616
27144003005,1653,堺市西区上野芝町５丁,747,906,590
27144003006,416,堺市西区上野芝町６丁,204,212,164
27144003007,1176,堺市西区上野芝町７丁,549,627,444
27144003008,892,堺市西区上野芝町８丁,426,466,343
271440040,7090,堺市西区上野芝向ケ丘町,3278,3812,2722
27144004001,1386,堺市西区上野芝向ケ丘町１丁,636,750,587
27144004002,1150,堺市西区上野芝向ケ丘町２丁,546,604,469
27144004003,732,堺市西区上野芝向ケ丘町３丁,340,392,258
27144004004,1148,堺市西区上野芝向ケ丘町４丁,488,660,443
27144004005,1016,堺市西区上野芝向ケ丘町５丁,510,506,366
27144004006,1658,堺市西区上野芝向ケ丘町６丁,758,900,599
271440050,1519,堺市西区家原寺町,723,796,559
27144005001,616,堺市西区家原寺町１丁,292,324,244
27144005002,903,堺市西区家原寺町２丁,431,472,315
271440060,5076,堺市西区鳳北町,2474,2602,1961
27144006001,74,堺市西区鳳北町１丁,40,34,30
27144006002,804,堺市西区鳳北町２丁,398,406,294
27144006003,295,堺市西区鳳北町３丁,149,146,131
27144006004,727,堺市西区鳳北町４丁,345,382,283
27144006005,285,堺市西区鳳北町５丁,142,143,109
27144006006,636,堺市西区鳳北町６丁,299,337,256
27144006007,476,堺市西区鳳北町７丁,221,255,182
27144006008,977,堺市西区鳳北町８丁,473,504,370
27144006009,510,堺市西区鳳北町９丁,254,256,189
27144006010,292,堺市西区鳳北町１０丁,153,139,117
271440070,6392,堺市西区鳳中町,3079,3313,2852
27144007001,275,堺市西区鳳中町１丁,127,148,151
27144007002,689,堺市西区鳳中町２丁,307,382,297
27144007003,287,堺市西区鳳中町３丁,143,144,126
27144007004,643,堺市西区鳳中町４丁,315,328,287
27144007005,437,堺市西区鳳中町５丁,198,239,184
27144007006,296,堺市西区鳳中町６丁,155,141,123
